Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,0.1u,
C10,0805,1,12n,
C11,0805,1,10u,
"C12, C13, C14, C17, C3, C4, C5, C7, C8, C9",0402,10,100n,
"C15, C16",0402,2,10u,
C6,0805,1,2.2u,
D1,D_SMA,1,1N4007,
D2,0603,1,Power_Led,
D3,0603,1,SCS_Fault,
D4,0603,1,TPS_Fault,
D5,0603,1,BPS_Fault,
D6,0603,1,OUTPUT,
J2,TerminalBlock_TE_282834-6_1x06_P2.54mm_Horizontal,1,282834-6,
K2,Relay_SPST_Omron-G5Q-1A,1,G5Q-1A,
Q1,SOT-23,1,BSS84,
"Q2, Q3",SOT-23,2,MMBT2222A,
"R1, R16, R2, R28, R29, R3, R4, R8",0603,8,100k,
R10,0603,1,47k,
R11,0603,1,39k,
"R12, R14, R20, R30, R5, R6, R7, R9",0603,8,10k,
"R13, R19",0603,2,1M,
R15,0603,1,330k,
"R17, R21, R22",0603,3,1k,
R18,0603,1,2.2k,
"R23, R24, R25, R26, R27",0603,5,220,
"RV1, RV2",Potentiometer_Bourns_3314J_Vertical,2,Trimmer,
TP1,TestPoint_Pad_D1.5mm,1,TPS,
TP2,TestPoint_Pad_D1.5mm,1,BPS,
TP3,TestPoint_Pad_D1.5mm,1,TIME,
TP4,TestPoint_Pad_D1.5mm,1,COMP,
TP5,TestPoint_Pad_D1.5mm,1,OUT,
"U1, U2",SOIC127P600X175-14N,2,LM339,
U3,SOP50P310X90-8N,1,74LVC2G00,
U4,SOIC127P600X175-14N,1,74HC00,
U5,SOT-23-6,1,74LVC2G04,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,LM311,
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,LM555xM,
U8,SOT-23-5,1,74AHC1G32,
U9,SOT-223-3_TabPin2,1,AMS1117-5.0,
