Designator,Mid X,Mid Y,Rotation,Layer
C1,115.4,-114.1,270.0,top
C10,151.21,-98.19,180.0,top
C11,144.41,-105.59,90.0,top
C12,146.81,-104.39,0.0,top
C13,146.81,-111.19,180.0,top
C14,159.01,-96.39,90.0,top
C15,114.2,-111.52,90.0,top
C16,114.2,-114.1,270.0,top
C2,115.4,-111.52,90.0,top
C3,131.81,-92.59,0.0,top
C4,131.81,-106.99,0.0,top
C5,143.21,-91.79,180.0,top
C6,143.21,-93.59,0.0,top
C7,159.01,-93.79,90.0,top
C8,151.61,-90.59,180.0,top
C9,144.01,-101.99,270.0,top
D1,164.8,-117.99,90.0,top
D2,131.5875,-115.3,0.0,top
J2,131.51,-119.99,0.0,top
K2,151.85375,-118.0,180.0,top
Q1,150.6725,-101.19,0.0,top
Q2,156.01,-101.19,180.0,top
Q3,157.81,-108.74,180.0,top
R1,128.81,-109.815,270.0,top
R10,135.01,-99.79,0.0,top
R11,135.01,-102.19,180.0,top
R12,144.21,-89.39,270.0,top
R13,144.21,-96.565,90.0,top
R14,142.21,-89.39,270.0,top
R15,142.26,-96.565,270.0,top
R16,147.61,-98.19,180.0,top
R17,146.81,-101.19,90.0,top
R18,155.61,-106.14,180.0,top
R19,143.01,-108.39,0.0,top
R2,129.01,-95.415,270.0,top
R20,154.81,-108.74,270.0,top
R21,151.21,-103.99,0.0,top
R22,159.01,-100.39,90.0,top
R23,134.775,-115.3,180.0,top
R3,130.61,-109.815,90.0,top
R4,130.81,-95.415,90.0,top
R5,131.21,-105.59,0.0,top
R6,131.21,-91.19,0.0,top
R7,141.81,-105.39,90.0,top
R8,138.61,-102.19,180.0,top
R9,138.61,-99.79,0.0,top
RV1,120.6,-104.5,90.0,top
RV2,120.6,-97.5,90.0,top
U1,136.81,-108.19,0.0,top
U2,136.81,-93.79,0.0,top
U3,142.01,-100.99,270.0,top
U5,156.21,-93.19,180.0,top
U6,149.61,-94.19,270.0,top
U7,149.61,-107.79,90.0,top
U8,156.21,-96.99,180.0,top
U9,120.6,-111.6,180.0,top
